Country,Year,Population,GDP,GDP_Growth,GDP_Per_Capita,Medal,Athelets,Continent,Status,Income
New Zealand,1988,3300519,92537879708,0.6425,28035.75,13,83,Oceania,Developed,High income
Nicaragua,1988,3865669.25,16309294334,-5.8925,4225.75,0,0,Americas,Developing,Lower middle income
Niger,1988,7228060.5,8674981404,-0.02,1200.5,0,6,Africa,Developing,Low income
Nigeria,1988,86943119.75,1.61E+11,2.315,1855.75,0,67,Africa,Developing,Lower middle income
North Korea,1988,19293581.25,54969018852,0.2225,2849.5,0,0,Asia,Developing,Low income
Norway,1988,4178840,1.67E+11,2.9825,39931.5,5,69,Europe,Developed,High income
Oman,1988,1589395.75,40254793682,4.95,25292.25,0,8,Asia,Developing,High income
Pakistan,1988,96770561.25,2.61E+11,3.7825,2688.75,1,30,Asia,Developing,Lower middle income
Palau,1988,13972.5,203230109.8,0.3275,14533,0,0,Oceania,Developing,High income
Palestine,1988,1850910,5297615789,0.1425,2861.75,0,0,Asia,Developing,Lower middle income
Panama,1988,2293628.75,24665540197,-0.595,10759.25,0,6,Americas,Developing,High income
Papua New Guinea,1988,4239854,10910387663,1.965,2572,0,11,Oceania,Developing,Lower middle income
Paraguay,1988,3838170.75,29835842901,1.7275,7768.75,0,10,Americas,Developing,Upper middle income
Peru,1988,20462000.75,1.4E+11,0.6925,6832.5,1,21,Americas,Developing,Upper middle income
Philippines,1988,56522504,2.19E+11,-0.5225,3866,1,31,Asia,Developing,Lower middle income
Poland,1988,37433767.75,4.67E+11,1.225,12467.75,16,143,Europe,Developed,High income
Portugal,1988,9917218.25,1.91E+11,5.6825,19287.5,1,65,Europe,Developed,High income
Qatar,1988,408597.5,25769460531,-4.885,63230.5,0,10,Asia,Developing,High income
Romania,1988,23232110,3.3E+11,2.05,14216.25,24,68,Europe,Developed,Upper middle income
Russia,1988,144499751.3,3.05E+12,1.88,21069.75,0,0,Europe,Developed,Upper middle income
Rwanda,1988,6614701.75,6239500042,-0.4525,944.25,0,6,Africa,Developing,Low income
Samoa,1988,160719.5,670918758.8,1.5775,4174.25,0,11,Oceania,Developing,Upper middle income
San Marino,1988,23171.25,1077607972,2.795,46488,0,11,Europe,Developed,High income
Sao Tome and Principe,1988,108975.5,301833325.5,-1.4225,2773.75,0,0,Africa,Developing,Lower middle income
Saudi Arabia,1988,14107227.5,2.15E+11,-5.7775,15249.25,0,9,Asia,Developing,High income
Senegal,1988,6776091,15895124475,1.1825,2344.75,1,23,Africa,Developing,Lower middle income
Serbia,1988,9327300.5,1.4E+11,0.61,15022.75,0,0,Europe,Developed,Upper middle income
Seychelles,1988,69896,808336854.8,5.5675,11564.5,0,0,Africa,Developing,High income
Sierra Leone,1988,3979194.75,5930016797,-0.6375,1490.5,0,12,Africa,Developing,Low income
Singapore,1988,2789558,79633853857,5.5025,28494.75,0,8,Asia,Developing,High income
Slovak Republic,1988,5206273,75840678201,1.675,14565.25,0,0,Europe,Developed,High income
Slovenia,1988,1969471,49402759180,-0.475,25086,0,0,Europe,Developed,High income
Solomon Islands,1988,282867,597902436.8,4.0275,2109.75,0,4,Oceania,Developing,Lower middle income
Somalia,1988,6813218,7158257723,3.8675,1050.25,0,5,Africa,Developing,Low income
South Africa,1988,33893366,3.56E+11,-1.165,10517,0,0,Africa,Developing,Upper middle income
South Korea,1988,41460690.75,4.06E+11,8.8475,9778,33,398,Asia,Developing,High income
South Sudan,1988,5363502.75,13213864672,-1.9775,2463.5,0,0,Africa,Developing,Low income
Spain,1988,38895668.25,8.67E+11,5.5525,22294.75,4,229,Europe,Developed,High income
Sri Lanka,1988,16526821.25,60374131499,1.295,3652.75,0,6,Asia,Developing,Upper middle income
St. Kitts and Nevis,1988,41256.75,480906896.3,10.415,11670.75,0,0,Americas,Developing,High income
St. Lucia,1988,129731.5,1158812068,10.9175,8911.5,0,0,Americas,Developing,Upper middle income
St. Vincent and the Grenadines,1988,105539.5,569922371.5,6.4375,5397.5,0,0,Americas,Developing,Upper middle income
Sudan,1988,18034666.25,32354266731,-1.4975,1793.5,0,8,Africa,Developing,Lower middle income
Suriname,1988,378169.75,4856176954,2.3025,12847.5,1,6,Americas,Developing,Upper middle income
Swaziland,1988,736271,3088394767,5.74,4181.75,0,11,Africa,Developing,Lower middle income
Sweden,1988,8407120.75,2.72E+11,2.22,32316.25,11,184,Europe,Developed,High income
Switzerland,1988,6492448.5,3.32E+11,1.6775,51172.5,4,99,Europe,Developed,High income
Syria,1988,11183204.5,1.23E+11,0.5125,10982.25,0,13,Asia,Developing,Low income
Tajikistan,1988,4767579.25,21398674824,-0.99,4490.25,0,0,Asia,Developing,Low income
Tanzania,1988,22643024,29780799395,0.8925,1314.25,0,10,Africa,Developing,Low income
Thailand,1988,53461099.5,2.83E+11,5.9525,5278.25,1,14,Asia,Developing,Upper middle income
Timor-Leste,1988,679273.75,1355472524,2.9825,1993.75,0,0,Asia,Developing,Lower middle income
Togo,1988,3416311,4447560005,-0.2,1302.5,0,6,Africa,Developing,Low income
Tonga,1988,94221.75,370565411.3,2.1125,3933,0,5,Oceania,Developing,Upper middle income
Trinidad and Tobago,1988,1188090,14034582430,-7.0925,11823,0,6,Americas,Developing,High income
Tunisia,1988,7607127.5,39160351458,-0.1,5148.75,0,41,Africa,Developing,Lower middle income
Turkey,1988,50604292.5,5.48E+11,5.2575,10814.25,2,41,Asia,Developing,Upper middle income
Turkmenistan,1988,3367422,26155711852,1.425,7762,0,0,Asia,Developing,Upper middle income
Tuvalu,1988,8417.5,18317750.75,2.625,2173.75,0,0,Oceania,Developing,Upper middle income
Uganda,1988,15355639.75,13451110227,-0.42,876,0,24,Africa,Developing,Low income
Ukraine,1988,51138758.75,7.72E+11,1.65,15094.25,0,0,Europe,Developed,Lower middle income
United Arab Emirates,1988,1493286.25,75119959382,-9.97,50718.25,0,12,Asia,Developing,High income
United Kingdom,1988,56601768.5,1.59E+12,4.16,28125.75,24,342,Europe,Developed,High income
United States,1988,243921999.3,9.22E+12,2.655,37807,94,527,Americas,Developed,High income
Uruguay,1988,3040116.25,29859463724,3.39,9818.5,0,15,Americas,Developing,High income
Uzbekistan,1988,18749290.75,73710731168,-2.455,3935,0,0,Asia,Developing,Lower middle income
Vanuatu,1988,134592.75,389415194.8,-2.1825,2895.5,0,4,Oceania,Developing,Lower middle income
Venezuela,1988,18005774,2.86E+11,1.3125,15870.75,0,16,Americas,Developing,Upper middle income
Vietnam,1988,63003249.25,98326340383,1.9075,1559.75,0,9,Asia,Developing,Lower middle income
Yemen,1988,10141545,43339839489,-0.73,4272.75,0,0,Asia,Developing,Low income
Zambia,1988,7260304.5,14608265301,0.5575,2011.5,0,29,Africa,Developing,Lower middle income
Zimbabwe,1988,9363492.5,29206445639,1.52,3119,0,29,Africa,Developing,Lower middle income
Afghanistan,1992,13016435.75,13730784681,-6.3975,1060.25,0,0,Asia,Developing,Low income
Albania,1992,3267566.75,13415622796,-8.055,4104.5,0,7,Europe,Developed,Upper middle income
Algeria,1992,26073465.5,2.24E+11,-1.02,8613.75,2,35,Africa,Developing,Upper middle income
Andorra,1992,55627,1741926916,-0.885,31336.5,0,8,Europe,Developed,High income
Angola,1992,12052357.75,19312678136,0.5675,1601.75,0,28,Africa,Developing,Lower middle income
Antigua and Barbuda,1992,63090.5,970751913.5,2.3,15384.25,0,13,Americas,Developing,High income
Argentina,1992,32843776.75,4.92E+11,1.565,14958.25,1,84,Americas,Developing,Upper middle income
Armenia,1992,3505676.5,16158355721,-13.4975,4596.75,0,0,Asia,Developing,Upper middle income
Australia,1992,17066500.75,5.26E+11,-0.005,30847.5,27,279,Oceania,Developed,High income
Austria,1992,7753538.5,2.93E+11,2.93,37757.25,2,102,Europe,Developed,High income
Azerbaijan,1992,7299876,54595585463,-12.12,7497.5,0,0,Asia,Developing,Upper middle income
Bahamas,1992,258750,9495625878,-2.24,36740.75,1,14,Americas,Developing,High income
Bahrain,1992,502463,20472034427,3.075,40686,0,10,Asia,Developing,High income
Bangladesh,1992,104362571.5,1.59E+11,2.55,1520.25,0,6,Asia,Developing,Lower middle income
Barbados,1992,261424,3561911280,-2.835,13628.25,0,17,Americas,Developing,High income
Belarus,1992,10147564.5,88731267383,-2.9,8744.25,0,0,Europe,Developed,Upper middle income
Belgium,1992,10026067,3.58E+11,2.2775,35712.5,3,68,Europe,Developed,High income
Belize,1992,189121.25,958553508.3,9.73,5057.5,0,10,Americas,Developing,Upper middle income
Benin,1992,5069952.5,10912883163,0.6075,2151,0,6,Africa,Developing,Low income
Bhutan,1992,530534,1454024736,4.515,2739.5,0,6,Asia,Developing,Lower middle income
Bolivia,1992,6939582.25,32055449351,1.7075,4616.75,0,13,Americas,Developing,Lower middle income
Bosnia and Herzegovina,1992,4393558.5,14864034614,-15.1875,3365,0,10,Europe,Developed,Upper middle income
Botswana,1992,1305275.5,12003466902,9.24,9186,0,6,Africa,Developing,Upper middle income
Brazil,1992,150309729.8,1.59E+12,-1.5275,10599,3,182,Americas,Developing,Upper middle income
Brunei,1992,262566.5,18903452452,-0.1775,71993.5,0,0,Asia,Developing,High income
Bulgaria,1992,8795596.5,1.04E+11,-6.1675,11795,16,136,Europe,Developed,Upper middle income
Burkina Faso,1992,8934511.75,9387760108,0.0925,1050.75,0,4,Africa,Developing,Low income
Burundi,1992,5499130,6569868614,0.335,1194.5,0,0,Africa,Developing,Low income
Cambodia,1992,9145031.25,15015682246,-0.7675,1642.25,0,0,Asia,Developing,Lower middle income
Cameroon,1992,11960826,37563802229,-6.8175,3149.25,0,8,Africa,Developing,Lower middle income
Canada,1992,27708510.75,9.46E+11,-1.0525,34154,18,294,Americas,Developed,High income
Central African Republic,1992,2847554.5,3328575319,-4.1375,1171,0,15,Africa,Developing,Low income
Chad,1992,6062751.5,6299162650,2.7825,1037.5,0,6,Africa,Developing,Low income
Chile,1992,13387112,1.39E+11,6.205,10390.75,0,12,Americas,Developing,High income
China,1992,1183712399,1.84E+12,2.46,1550.5,54,233,Asia,Developing,Upper middle income
Colombia,1992,33435240.5,2.79E+11,1.25,8339.75,1,49,Americas,Developing,Upper middle income
Comoros,1992,417890.75,1240706196,-1.015,2970.5,0,0,Africa,Developing,Lower middle income
Costa Rica,1992,3161764.75,31549786635,2.72,9971.5,0,16,Americas,Developing,Upper middle income
Croatia,1992,4762467,79120669922,-9.01,16604,3,39,Europe,Developed,High income
Cuba,1992,10627718.25,52153007632,-8.9375,4912.75,31,176,Americas,Developing,Upper middle income
Cyprus,1992,775347.5,19367174484,4.8875,24958,0,17,Asia,Developed,High income
Czech Republic,1992,10344057.75,2.29E+11,-1.7725,22156,0,0,Europe,Developed,High income
Denmark,1992,5149509.75,2.03E+11,1.2275,39389.25,6,102,Europe,Developed,High income
Djibouti,1992,594035.25,1624771001,-4.0975,2740,0,8,Africa,Developing,Lower middle income
Dominica,1992,70516.75,546590654.5,2.5725,7751.75,0,0,Americas,Developing,Upper middle income
Dominican Republic,1992,7202530,46169097676,3.4575,6409.25,0,32,Americas,Developing,Upper middle income
Ecuador,1992,10352852,86504206846,0.115,8353.5,0,13,Americas,Developing,Upper middle income
Egypt,1992,56753630.5,3.45E+11,0.815,6076.75,0,75,Africa,Developing,Lower middle income
El Salvador,1992,5307299.75,28182860970,2.12,5308,0,4,Americas,Developing,Lower middle income
Equatorial Guinea,1992,426480.25,788897021,-0.785,1849.5,0,7,Africa,Developing,Upper middle income
Eritrea,1992,2253435.5,3418900366,4.6525,1516.75,0,0,Africa,Developing,Low income
Estonia,1992,1551061,24490874245,-6.2175,15766,2,37,Europe,Developed,High income
Ethiopia,1992,48798434.75,34883065884,-7.5625,718,3,20,Africa,Developing,Low income
Fiji,1992,733261.25,6047972065,5.4525,8246.25,0,18,Oceania,Developing,Upper middle income
Finland,1992,5009350,1.58E+11,-1.24,31637.5,5,88,Europe,Developed,High income
France,1992,56782989.25,1.92E+12,1.7325,33837.5,29,331,Europe,Developed,High income
Gabon,1992,962891.25,17438247538,1.3175,18109,0,5,Africa,Developing,Upper middle income
Gambia,1992,972843.25,2192065646,-0.03,2253.5,0,5,Africa,Developing,Low income
Georgia,1992,5374826,50828770104,-21.5525,9432,0,0,Asia,Developing,Upper middle income
Germany,1992,79292070.5,3.01E+12,1.385,37968.5,82,456,Europe,Developed,High income
Ghana,1992,14996847,35566520593,1.77,2370.5,1,34,Africa,Developing,Lower middle income
Greece,1992,10279261.5,2.55E+11,1.48,24813.25,2,70,Europe,Developed,High income
Grenada,1992,96720.75,841639256.3,3.48,8702.25,0,4,Americas,Developing,Upper middle income
Guatemala,1992,9376527.25,52645128475,1.03,5612.75,0,14,Americas,Developing,Upper middle income
Guinea,1992,6442682.5,9682700406,0.6175,1502.75,0,8,Africa,Developing,Low income
Guinea-Bissau,1992,986730.5,1981517499,1.56,2007.75,0,0,Africa,Developing,Low income
Guyana,1992,745490,3799267007,2.1325,5095.75,0,6,Americas,Developing,Upper middle income
Haiti,1992,7108443,22501457315,-2.57,3167.25,0,7,Americas,Developing,Low income
Honduras,1992,5028317.25,19707400221,-0.8825,3922.5,0,10,Americas,Developing,Lower middle income
Hungary,1992,10375105.25,1.81E+11,-4.4925,17423.5,30,215,Europe,Developed,High income
Iceland,1992,256309.75,8589810058,-1.5825,33521,0,27,Europe,Developed,High income
India,1992,882298173.5,1.59E+12,1.935,1807.25,0,52,Asia,Developing,Lower middle income
Indonesia,1992,182988557,8.48E+11,5.915,4630.75,5,34,Asia,Developing,Lower middle income
Iran,1992,56911904.5,5.11E+11,4.8775,8957,3,36,Asia,Developing,Upper middle income
Iraq,1992,17676563,58289405500,-10.6225,3329.75,0,8,Asia,Developing,Upper middle income
Ireland,1992,3516985,92299406603,5.0575,26241.75,2,58,Europe,Developed,High income
Israel,1992,4531014.25,1.08E+11,2.075,23827.5,2,30,Asia,Developed,High income
Italy,1992,57077594.25,2.1E+12,2.1375,36794.25,19,304,Europe,Developed,High income
Jamaica,1992,2430935.25,21087568442,4.48,8671.5,4,36,Americas,Developing,Upper middle income
Japan,1992,124706206,4.05E+12,3.0875,32456.75,22,247,Asia,Developed,High income
Jordan,1992,3675845.25,29706842107,-4,8088,0,4,Asia,Developing,Upper middle income
Kazakhstan,1992,16346711.5,2.06E+11,-4.975,12618.25,0,0,Asia,Developing,Upper middle income
Kenya,1992,24126864,75395492557,-0.0025,3126.5,8,49,Africa,Developing,Lower middle income
Kiribati,1992,72925.5,154063101,-3.1975,2113,0,0,Oceania,Developing,Lower middle income
Kuwait,1992,2032964.5,65620102399,12.48,32273.75,0,31,Asia,Developing,High income
Kyrgyz Republic,1992,4389640,20821439909,-6.255,4748.75,0,0,Asia,Developing,Lower middle income
Latvia,1992,2649451.25,40003611947,-9.73,15079.25,3,34,Europe,Developed,High income
Lebanon,1992,2881825.75,24363106533,43.6625,8305,0,12,Asia,Developing,Upper middle income
Lesotho,1992,1723784.75,2271879092,4.765,1316.5,0,6,Africa,Developing,Lower middle income
Liberia,1992,2056024.75,2411781024,-21.1725,1164.25,0,0,Africa,Developing,Low income
Libya,1992,4490184.75,40045969897,8.74,8891.75,0,5,Africa,Developing,Upper middle income
Lithuania,1992,3691036.5,60403884331,-8.215,16365,2,47,Europe,Developed,High income
Luxembourg,1992,384311.25,26935858241,5.0925,70052.5,0,6,Europe,Developed,High income
Madagascar,1992,11777861.75,20638861829,-1.885,1754.75,0,13,Africa,Developing,Low income
Malawi,1992,9441600.5,6438549177,-1.495,681.75,0,4,Africa,Developing,Low income
Malaysia,1992,18270346.5,1.95E+11,6.8475,10638,1,22,Asia,Developing,Upper middle income
Maldives,1992,226418.75,2000674744,6.4,8816.75,0,7,Asia,Developing,Upper middle income
Mali,1992,8558174,12527507373,2.7,1463.25,0,5,Africa,Developing,Low income
Malta,1992,363458.25,6652957991,5.1225,18297,0,6,Europe,Developed,High income
Marshall Islands,1992,47684.25,159293699.3,1.65,3338,0,0,Oceania,Developing,Upper middle income
Mauritania,1992,2061702,9533436173,0.3375,4625.5,0,6,Africa,Developing,Lower middle income
Mauritius,1992,1063208.75,8670044622,3.51,8149.75,0,13,Africa,Developing,Upper middle income
Mexico,1992,84724955.5,1.28E+12,2.7975,15085.5,1,102,Americas,Developing,Upper middle income
Moldova,1992,4366322.25,56114512376,-11.1425,12857.5,0,0,Europe,Developed,Lower middle income
Monaco,1992,29557.5,1425430939,1.7375,48222,0,2,Europe,Developed,High income
Mongolia,1992,2196639.25,5155176960,-4.6025,2349.75,2,33,Asia,Developing,Lower middle income
Montenegro,1992,615781.5,8208014819,-8.6025,13332,0,0,Europe,Developed,Upper middle income
Morocco,1992,25033725.5,97039980535,0.2825,3875.5,3,44,Africa,Developing,Lower middle income
Mozambique,1992,13231817.5,6157832013,-0.3375,465.75,0,6,Africa,Developing,Low income
Myanmar,1992,41589626.25,26229829471,0.425,630.5,0,4,Asia,Developing,Lower middle income
Namibia,1992,1453065,8902343054,0.56,6122,2,6,Africa,Developing,Upper middle income
Nauru,1992,9644.25,220328619.8,-12.65,22971.5,0,0,Oceania,Developing,Upper middle income
Nepal,1992,19173582.25,27508096145,2.0125,1433.75,0,2,Asia,Developing,Low income
Netherlands,1992,15016119.75,5.5E+11,2.7425,36624.25,15,201,Europe,Developed,High income
New Zealand,1992,3427124,93843424835,-1.48,27395.25,10,134,Oceania,Developed,High income
Nicaragua,1992,4222119.25,14466229548,-2.79,3429,0,8,Americas,Developing,Lower middle income
Niger,1992,8165586.5,9084734976,-2.8625,1114,0,3,Africa,Developing,Low income
Nigeria,1992,96457458.25,1.96E+11,1.865,2028.5,4,54,Africa,Developing,Lower middle income
North Korea,1992,20458343,54953607076,-3.6175,2689,9,62,Asia,Developing,Low income
Norway,1992,4258888,1.83E+11,2.2925,42897,7,83,Europe,Developed,High income
Oman,1992,1857586.5,50389121240,1.475,27108,0,5,Asia,Developing,High income
Pakistan,1992,109212643.3,3.25E+11,2.6125,2969,1,27,Asia,Developing,Lower middle income
Palau,1992,15267,245435802.3,-2.1625,16096.5,0,0,Oceania,Developing,High income
Palestine,1992,2149986.5,6499603801,5.7025,3014.25,0,0,Asia,Developing,Lower middle income
Panama,1992,2497358.5,27796725729,5.095,11111.5,0,5,Americas,Developing,High income
Papua New Guinea,1992,4671149.5,12276082282,2.6775,2624.5,0,13,Oceania,Developing,Lower middle income
Paraguay,1992,4278794,36239707760,1.225,8468.25,0,27,Americas,Developing,Upper middle income
Peru,1992,22293707.75,1.19E+11,-5.93,5323.5,1,16,Americas,Developing,Upper middle income
Philippines,1992,62677711.5,2.59E+11,-0.1025,4138.75,1,26,Asia,Developing,Lower middle income
Poland,1992,38018322.25,4.29E+11,-3.975,11290.5,19,199,Europe,Developed,High income
Portugal,1992,9913384.5,2.38E+11,4.0975,23971,0,90,Europe,Developed,High income
Qatar,1992,480180,29347318841,1.1975,61113.5,1,28,Asia,Developing,High income
Romania,1992,23447010.75,2.92E+11,-7.21,12446.25,18,171,Europe,Developed,Upper middle income
Russia,1992,147664912.3,3E+12,-5.0425,20327,0,0,Europe,Developed,Upper middle income
Rwanda,1992,7088008.25,6844003739,3.605,967.25,0,10,Africa,Developing,Low income
Samoa,1992,163555.5,660801011.3,-1.58,4041.5,0,5,Oceania,Developing,Upper middle income
San Marino,1992,24310.25,1226770715,0.78,50463,0,17,Europe,Developed,High income
Sao Tome and Principe,1992,120511.75,309485392.3,-1.19,2569.5,0,0,Africa,Developing,Lower middle income
Saudi Arabia,1992,16488864,2.95E+11,8.9675,17778.25,0,9,Asia,Developing,High income
Senegal,1992,7643852.5,17388513416,-1.5725,2275.25,0,20,Africa,Developing,Lower middle income
Serbia,1992,9568117.75,1.22E+11,-10.47,12756.25,0,0,Europe,Developed,Upper middle income
Seychelles,1992,71192,1050222155,6.475,14741.5,0,11,Africa,Developing,High income
Sierra Leone,1992,4317646.75,6075173624,-4.6675,1407.5,0,11,Africa,Developing,Low income
Singapore,1992,3062757.75,1.16E+11,5.7675,37692.25,0,14,Asia,Developing,High income
Slovak Republic,1992,5298379.5,71650920985,-5.815,13529,0,0,Europe,Developed,High income
Slovenia,1992,2005092,42829247406,-5.98,21362,2,35,Europe,Developed,High income
Solomon Islands,1992,316481.5,765593377,4.4225,2415.75,0,1,Oceania,Developing,Lower middle income
Somalia,1992,7231939.5,7302571684,-4.015,1010.25,0,0,Africa,Developing,Low income
South Africa,1992,37280531.5,3.75E+11,-2.66,10077.5,2,93,Africa,Developing,Upper middle income
South Korea,1992,43157746.75,5.73E+11,6.9225,13266.5,29,215,Asia,Developing,High income
South Sudan,1992,5432457.5,13442552307,0.435,2474.25,0,0,Africa,Developing,Low income
Spain,1992,39257753,1.08E+12,3.7775,27626.75,22,422,Europe,Developed,High income
Sri Lanka,1992,17426270,68575017214,2.9675,3933,0,11,Asia,Developing,Upper middle income
St. Kitts and Nevis,1992,40421.5,603205000.8,3.445,14922.25,0,0,Americas,Developing,High income
St. Lucia,1992,138891.25,1630163187,4.4475,11731.75,0,0,Americas,Developing,Upper middle income
St. Vincent and the Grenadines,1992,107568.25,692651684.8,3.195,6438.75,0,0,Americas,Developing,Upper middle income
Sudan,1992,20552981.75,37807303970,1.2375,1839.75,0,6,Africa,Developing,Lower middle income
Suriname,1992,408979.5,5182234408,-0.7825,12676.5,1,6,Americas,Developing,Upper middle income
Swaziland,1992,833295.75,4173560947,2.845,5005.75,0,6,Africa,Developing,Lower middle income
Sweden,1992,8598363.5,2.9E+11,-0.2475,33750.75,12,183,Europe,Developed,High income
Switzerland,1992,6690489.25,3.63E+11,0.6175,54334.25,1,102,Europe,Developed,High income
Syria,1992,12632419,1.36E+11,0.4975,10710.25,0,8,Asia,Developing,Low income
Tajikistan,1992,5334202.25,18449389876,-13.815,3472.75,0,0,Asia,Developing,Low income
Tanzania,1992,25658350.25,35104685909,-0.31,1368.5,0,9,Africa,Developing,Low income
Thailand,1992,56843465.25,4.19E+11,8.28,7355.5,1,46,Asia,Developing,Upper middle income
Timor-Leste,1992,749820,1706428111,3.975,2272.5,0,0,Asia,Developing,Lower middle income
Togo,1992,3815444.25,4958319814,-1.67,1300.5,0,6,Africa,Developing,Low income
Tonga,1992,95139.5,372604596,0.6425,3916.25,0,5,Oceania,Developing,Upper middle income
Trinidad and Tobago,1992,1224943,12845664951,1.8375,10483.75,0,7,Americas,Developing,High income
Tunisia,1992,8336106.5,45750582869,3.4375,5482.25,0,13,Africa,Developing,Lower middle income
Turkey,1992,54375944.5,6.78E+11,2.805,12465.25,6,41,Asia,Developing,Upper middle income
Turkmenistan,1992,3739719,24934073337,-9.1425,6688.5,0,0,Asia,Developing,Upper middle income
Tuvalu,1992,8955.25,23079914,3.575,2575.25,0,0,Oceania,Developing,Upper middle income
Uganda,1992,17658159.5,16209658088,1.04,917.5,0,8,Africa,Developing,Low income
Ukraine,1992,51440667.25,7.65E+11,-4.34,14869.5,0,0,Europe,Developed,Lower middle income
United Arab Emirates,1992,1886041,93758604902,3.4375,49643.25,0,13,Asia,Developing,High income
United Kingdom,1992,57211374.75,1.74E+12,0.205,30442,20,359,Europe,Developed,High income
United States,1992,253344024.3,1.02E+13,0.855,40317.25,108,539,Americas,Developed,High income
Uruguay,1992,3121079.25,32789525890,2.335,10503,0,16,Americas,Developing,High income
Uzbekistan,1992,20644110.5,68740626964,-6.8725,3337.5,0,0,Asia,Developing,Lower middle income
Vanuatu,1992,148817.5,427968550,0.7525,2875,0,6,Oceania,Developing,Lower middle income
Venezuela,1992,19863286.75,3.16E+11,1.2875,15865.5,0,26,Americas,Developing,Upper middle income
Vietnam,1992,68714882.5,1.18E+11,3.575,1722.5,0,7,Asia,Developing,Lower middle income
Yemen,1992,12038864,51221541886,0.11,4254,0,8,Asia,Developing,Low income
Zambia,1992,8138764,17127075915,-0.155,2104.5,0,9,Africa,Developing,Lower middle income
Zimbabwe,1992,10541945,34594092869,-0.96,3283.5,0,19,Africa,Developing,Lower middle income
Afghanistan,1996,17464108.75,11283716485,-3.7075,644,0,2,Asia,Developing,Low income
Albania,1996,3138334,13285437987,10.75,4239,0,7,Europe,Developed,Upper middle income
Algeria,1996,28468374.25,2.27E+11,-0.7625,7967.75,3,45,Africa,Developing,Upper middle income
Andorra,1996,62968.25,1852757094,0.0125,29415.75,0,8,Europe,Developed,High income
Angola,1996,13731181,20055683784,3.87,1453.25,0,28,Africa,Developing,Lower middle income
Antigua and Barbuda,1996,67956.5,1097831374,1.38,16155.25,0,13,Americas,Developing,High income
Argentina,1996,34611829,6.13E+11,2.8875,17718,3,179,Americas,Developing,Upper middle income
Armenia,1996,3258084.25,9392130439,4.48,2888.25,2,32,Asia,Developing,Upper middle income
Australia,1996,17896023.5,5.84E+11,2.755,32614.25,41,411,Oceania,Developed,High income
Austria,1996,7961817.25,3.19E+11,1.6075,40029.75,3,70,Europe,Developed,High income
Azerbaijan,1996,7724108.5,26805679002,-14.3925,3477.25,1,23,Asia,Developing,Upper middle income
Bahamas,1996,277768.25,9543125235,1.3475,34341,1,26,Americas,Developing,High income
Bahrain,1996,557040.25,26369055148,2.545,47335.25,0,5,Asia,Developing,High income
Bangladesh,1996,113977046.3,1.91E+11,2.345,1675.75,0,4,Asia,Developing,Lower middle income
Barbados,1996,265441,3452213098,1.8,13004.25,0,13,Americas,Developing,High income
Belarus,1996,10091468.25,64492849554,-6.595,6389,15,157,Europe,Developed,Upper middle income
Belgium,1996,10167290.5,3.8E+11,1.2125,37345.75,6,61,Europe,Developed,High income
Belize,1996,204981.5,1203875645,-0.2625,5876.75,0,5,Americas,Developing,Upper middle income
Benin,1996,5808950,13008381645,1.12,2238.5,0,5,Africa,Developing,Low income
Bhutan,1996,535148.75,1711277193,4.55,3196.5,0,2,Asia,Developing,Lower middle income
Bolivia,1996,7545312.75,37644736623,2.3525,4986,0,8,Americas,Developing,Lower middle income
Bosnia and Herzegovina,1996,3902233.75,8975345308,22.6575,2322.75,0,9,Europe,Developed,Upper middle income
Botswana,1996,1451767,14210858670,2.0575,9779.25,0,7,Africa,Developing,Upper middle income
Brazil,1996,160729093.5,1.77E+12,2.48,11021.25,15,213,Americas,Developing,Upper middle income
Brunei,1996,293217,21061258106,0.01,71806.75,0,1,Asia,Developing,High income
Bulgaria,1996,8430534.75,92049928037,2.615,10924.25,15,110,Europe,Developed,Upper middle income
Burkina Faso,1996,9957917.75,10833533182,2.5325,1086.75,0,5,Africa,Developing,Low income
Burundi,1996,5936043,5866562605,-7.98,989.75,1,7,Africa,Developing,Low income
Cambodia,1996,10481923,17161940113,0.425,1636,0,5,Asia,Developing,Lower middle income
Cameroon,1996,13416466.25,34053018416,-2.25,2537.75,0,15,Africa,Developing,Lower middle income
Canada,1996,29007667.75,1.02E+12,1.775,35108,22,298,Americas,Developed,High income
Central African Republic,1996,3178015.5,3348449203,-0.7,1053.75,0,5,Africa,Developing,Low income
Chad,1996,6901528.75,6440691804,-3.7525,933.25,0,4,Africa,Developing,Low income
Chile,1996,14269877.75,1.85E+11,5.215,12950,0,21,Americas,Developing,High income
China,1996,1235348451,2.82E+12,10.72,2280.25,50,276,Asia,Developing,Upper middle income
Colombia,1996,36087018.75,3.32E+11,2.69,9203.5,0,48,Americas,Developing,Upper middle income
Comoros,1996,468892.25,1298455182,-2.77,2772.5,0,4,Africa,Developing,Lower middle income
Costa Rica,1996,3502253,38966283556,1.6575,11123.25,1,11,Americas,Developing,Upper middle income
Croatia,1996,4636747,66783796202,4.8025,14416,2,84,Europe,Developed,High income
Cuba,1996,10863826,35784304108,-0.1675,3292.75,25,164,Americas,Developing,Upper middle income
Cyprus,1996,846167.75,23249345356,2.025,27450.5,0,17,Asia,Developed,High income
Czech Republic,1996,10357037.5,2.3E+11,3.4475,22228.75,11,111,Europe,Developed,High income
